Sat.EarthMJ2000Eq.X,Sat.EarthMJ2000Eq.Y,Sat.EarthMJ2000Eq.Z,Sat.ElapsedSecs
-365667.29907172,152196.1865262904,37642.75050469006,624566.9152227463
-365412.7083241129,151615.1949902839,37529.27299543886,625863.0515498458
-365275.9382743602,151264.9124158057,37472.65880580276,626723.0002336088
-365227.3078081561,151127.2582931438,37453.27367575165,627080.005932413
-365203.7642399109,151056.7351361721,37444.02639889597,627267.4650764326
-365183.679632368,150993.9898322687,37436.20623836019,627436.9634294068
-365125.9057584786,150794.4143777206,37414.02643429795,627994.0479379264
-365046.7426909733,150400.253775711,37383.65330888834,629183.8851166307
-365033.3965805671,150016.2155803644,37374.09937245173,630476.9946546759
-365101.7307512082,149668.1550676827,37385.32193897233,631781.9450156414
-365256.7427357436,149351.5060098364,37413.26712706444,633087.9832724109
-365501.7858325845,149058.1809579678,37453.45518941657,634393.9204566297
-365839.2158150753,148779.5042168257,37501.2696313643,635699.6983867837
-366270.3733785375,148506.6099578504,37552.01180006406,637005.3464626078
-366795.573443528,148230.5541544209,37600.95055378599,638310.9171188786
-367414.0978812812,147942.4143217813,37643.37109125021,639616.4590744651
-368124.2094263431,147633.3800961682,37674.62444634068,640922.0278250054
-368923.1456530547,147294.8555217048,37690.17504466671,642227.6419732952
-369807.1570787186,146918.5444502274,37685.64998218375,643533.3113233326
-370771.5499291908,146496.5368490801,37656.88539840063,644839.0426962054
-371810.722731064,146021.3982061004,37599.97115957956,646144.8237623437
-372918.2182269237,145486.252945189,37511.29422684934,647450.6196506205
-374086.8032429341,144884.8540559836,37387.57779206776,648756.39047554
-375308.5637845627,144211.6404266369,37225.91412855998,650062.1106658014
-376574.9304706026,143461.8295234865,37023.80391093103,651367.7064709249
-377876.8201759037,142631.4454273615,36779.17909834536,652673.1130401255
-379204.7515317695,141717.3481983535,36490.4203617703,653978.2902993145
-380548.9075930326,140717.2919287526,36156.38140043516,655283.1834663637
-381899.2256909459,139629.9668467747,35776.40861445374,656587.709356437
-383245.564104417,138454.972375277,35350.33468659104,657891.8125930242
-384577.8425083825,137192.783718482,34878.46489390248,659195.4957560753
-385886.0303869012,135844.8532747,34361.61269954706,660498.7028398085
-387160.3695476225,134413.4891169149,33801.05176632829,661801.4316801215
-388391.4372529355,132901.8602248258,33198.51242109806,663103.6955618067
-389570.2494504998,131313.9528480869,32556.15882160305,664405.5284117698
-390688.3278778366,129654.5622915212,31876.57953308823,665706.9548382307
-391737.833442141,127929.1763141353,31162.7331029896,667008.0411749426
-392711.6167389552,126143.9505045773,30417.92984285283,668308.8642580784
-393603.2780783522,124305.6696446599,29645.80790501201,669609.4916818198
-394407.2650724527,122421.6115518703,28850.2678054983,670910.0270364317
-395118.9090149462,120499.4935547737,28035.44076618299,672210.590176424
-395734.4535022376,118547.4384546063,27205.66537202036,673511.2848781398
-396251.1107691989,116573.84203604,26365.42221363465,674812.2311277897
-396667.0702383483,114587.3585850194,25519.31836585942,676113.5163903236
-396981.545412167,112596.6874414125,24671.98703308142,677415.2767282329
-397194.7492156519,110610.638177501,23828.10578750576,678717.594389047
-397307.9133147235,108637.9707545892,22992.31888985015,680020.5424062791
-397323.2765390983,106687.2721105405,22169.17536216322,681324.2057277937
-397244.0612184157,104766.9538907439,21363.11845374155,682628.6226932541
-397074.4434874767,102885.06426869,20578.39687864302,683933.8519358542
-396819.5246375619,101049.3502784901,19819.08137747942,685239.8698987789
-396485.2690442075,99267.0079681506,19088.95126765466,686546.6858193045
-396078.4556078364,97544.71255020768,18391.49837733593,687854.2659606901
-395606.6089756247,95888.51494855263,17729.87575983998,689162.5533081824
-395077.9148004063,94303.74795974865,17106.85184462874,690471.4886357775
-394501.1410463212,92794.99231167629,16524.78965440435,691780.9908337891
-393885.5557579047,91366.0410182631,15985.62549050528,693090.9395611379
-393240.7983351758,90019.78223035141,15490.81830759989,694401.2410020106
-392576.804026905,88758.235348669,15041.35902461743,695711.7654466652
-391903.6624851527,87582.45922426814,14637.73388634744,697022.4157688557
-391231.5427324576,86492.60732728828,14279.94262482874,698333.0575968255
-390570.5425526358,85487.85743983707,13967.47476320616,699643.5966901132
-389930.6073709813,84566.47186431644,13699.33248117803,700953.9213376469
-389321.4049056076,83725.79093163241,13474.03315126111,702263.9344128664
-389247.2131001019,83625.30757830027,13448.56298828256,702429.1577107622
-389176.6342435614,83530.03090430003,13424.72989184796,702587.7011037315
-388962.4379215151,83242.52618325909,13354.77677823072,703077.7754270355
-388482.8475285847,82604.70220973573,13211.31235563166,704234.6274462529
-387996.701205226,81957.35819210226,13085.32572755713,705525.4531000857
-387564.8029556059,81366.06387337993,12991.6101207607,706831.8632798153
-387514.3776312117,81294.87249450818,12981.92543978124,706998.6989111756
-387468.8697298091,81230.05251722528,12973.43246244204,707152.5453568669
-387334.1582652218,81034.33558996451,12949.74205474614,707628.7470065989
-387045.8031827987,80585.74480985591,12907.44093950696,708792.0414920663
-386797.7030832747,80132.23819457981,12883.69189938695,710082.1370487101
-386628.4185358392,79713.35045134281,12880.5681973587,711386.9166467339
-386545.4870984591,79326.08820207883,12894.20529348815,712692.9841360194
-386552.4661285908,78962.51014460351,12920.12386372844,713998.8592970883
-386651.6564311553,78613.94130416181,12953.69366659849,715304.4459067401
-386844.3239513148,78271.50273185386,12990.20506762078,716609.7849006183
-387130.7067820391,77926.24097379016,13024.91919903194,717914.9438914494
-387510.015218169,77569.22816925992,13053.11703423398,719219.9932576739
-387980.4351180862,77191.65979848134,13070.14820190632,720524.9883462559
-388539.1468435529,76784.94477718853,13071.48001171982,721829.977596947
-389182.363672511,76340.78906346692,13052.74465598938,723135.0208112737
-389905.3497490689,75851.29722588515,13009.78524508521,724440.143411234
-390702.4755539417,75309.05013995133,12938.70057820389,725745.3595221159
-391567.2707639772,74707.18785051264,12835.88762036921,727050.665116834
-392492.5080034809,74039.47169506333,12698.07830921054,728356.063608604
-393470.2493795395,73300.37217435057,12522.37876640474,729661.5238462924
-394491.9432943942,72485.12124445573,12306.30044435657,730967.0035414165
-395548.5283169341,71589.75422372801,12047.78462870025,732272.4660997395
-396630.517893535,70611.16220147978,11745.22715492093,733577.8653056477
-397728.0979555766,69547.13126094677,11397.49811466175,734883.1421512761
-398831.232230913,68396.37033484307,11003.95618745162,736188.2257694146
-399929.7867384763,67158.51125374075,10564.45127520076,737493.0528239929
-401013.6380202221,65834.11329691851,10079.32604321809,738797.5659215008
-402072.79453917,64424.63984555543,9549.405469165498,740101.728821313
-403097.4869449358,62932.4608653875,8975.994242874882,741405.5064769113
-404078.2842250521,61360.81062897457,8360.856218191955,742708.8797533535
-405006.1786931125,59713.77666316616,7706.204511001487,744011.8246720056
-405872.7157961163,57996.19419833385,7014.653042896869,745314.3603863544
-406670.0448526077,56213.65676968671,6289.212910962508,746616.4969968027
-407391.0264109369,54372.4052837108,5533.239477571856,747918.2734672562
-408029.2988012992,52479.26283099038,4750.396598880207,749219.7527609998
-408579.331561373,50541.58587620535,3944.627262165237,750521.0034211515
-409036.4871481885,48567.16401743059,3120.102535267176,751822.1138141351
-409397.058582736,46564.16458389476,2281.188693081527,753123.1731811306
-409658.3114569894,44541.01558441576,1432.388332826729,754424.2914711242
-409818.5025314033,42506.35209302413,578.3078164092069,755725.5761707085
-409876.8984155314,40468.92063437756,-276.3929539535048,757027.1357757621
-409833.7812996787,38437.47130351721,-1127.055943108232,758329.090417712
-409690.4491803345,36420.75695936012,-1969.035541183775,759631.5137175377
-409449.2063611225,34427.35434068178,-2797.783723240405,760934.4884520862
-409113.3345034653,32465.57592984902,-3608.896700823733,762238.1061410531
